iter	Passed	Remaining
0	67	33796
1	77	19413
2	87	14492
3	97	12119
4	107	10633
5	117	9686
6	127	8984
7	137	8485
8	147	8062
9	157	7729
10	167	7465
11	177	7228
12	188	7077
13	200	6961
14	210	6821
15	220	6679
16	230	6556
17	241	6456
18	251	6358
19	260	6259
20	269	6158
21	279	6075
22	289	5997
23	299	5945
24	309	5878
25	319	5831
26	329	5773
27	339	5725
28	348	5667
29	358	5624
30	368	5581
31	378	5542
32	388	5500
33	399	5475
34	409	5438
35	419	5408
36	429	5374
37	439	5345
38	449	5312
39	459	5280
40	469	5252
41	479	5228
42	488	5194
43	498	5165
44	507	5135
45	517	5110
46	527	5083
47	537	5057
48	547	5035
49	556	5006
50	566	4987
51	576	4965
52	586	4946
53	596	4925
54	606	4907
55	616	4887
56	626	4869
57	636	4849
58	646	4828
59	656	4812
60	666	4796
61	676	4779
62	687	4765
63	696	4745
64	706	4729
65	716	4710
66	726	4694
67	736	4677
68	746	4661
69	756	4645
70	766	4629
71	776	4613
72	785	4596
73	795	4578
74	804	4560
75	814	4545
76	824	4530
77	834	4516
78	845	4506
79	855	4490
80	864	4473
81	875	4462
82	885	4447
83	895	4433
84	904	4416
85	914	4401
86	924	4386
87	934	4372
88	944	4359
89	953	4343
90	963	4328
91	972	4311
92	982	4297
93	991	4284
94	1001	4270
95	1011	4255
96	1021	4242
97	1030	4228
98	1040	4216
99	1050	4202
100	1060	4188
101	1070	4176
102	1080	4163
103	1090	4150
104	1099	4136
105	1109	4124
106	1119	4110
107	1128	4097
108	1139	4086
109	1148	4073
110	1171	4104
111	1190	4123
112	1205	4129
113	1216	4118
114	1230	4121
115	1255	4155
116	1273	4170
117	1288	4170
118	1300	4162
119	1316	4169
120	1330	4167
121	1342	4159
122	1354	4152
123	1366	4143
124	1378	4136
125	1390	4127
126	1402	4119
127	1414	4110
128	1426	4101
129	1437	4091
130	1448	4081
131	1459	4070
132	1471	4059
133	1482	4048
134	1494	4039
135	1504	4027
136	1516	4017
137	1526	4005
138	1537	3992
139	1548	3981
140	1559	3970
141	1570	3958
142	1580	3946
143	1591	3935
144	1603	3925
145	1614	3914
146	1625	3903
147	1636	3892
148	1648	3882
149	1658	3870
150	1669	3858
151	1679	3845
152	1690	3833
153	1701	3823
154	1712	3812
155	1723	3801
156	1734	3789
157	1745	3777
158	1755	3765
159	1767	3755
160	1777	3743
161	1788	3731
162	1798	3718
163	1809	3706
164	1819	3694
165	1829	3680
166	1838	3666
167	1850	3656
168	1870	3663
169	1898	3684
170	1914	3683
171	1925	3671
172	1935	3658
173	1945	3644
174	1955	3631
175	1965	3618
176	1976	3606
177	1986	3593
178	1996	3580
179	2006	3567
180	2016	3554
181	2026	3540
182	2037	3530
183	2048	3517
184	2058	3504
185	2068	3492
186	2079	3480
187	2089	3466
188	2098	3453
189	2108	3439
190	2117	3426
191	2127	3413
192	2137	3400
193	2147	3387
194	2157	3373
195	2167	3361
196	2178	3350
197	2188	3337
198	2198	3324
199	2207	3311
200	2217	3299
201	2228	3286
202	2238	3274
203	2248	3261
204	2257	3248
205	2267	3236
206	2277	3223
207	2287	3211
208	2297	3198
209	2306	3185
210	2316	3172
211	2326	3160
212	2335	3147
213	2345	3135
214	2355	3122
215	2365	3109
216	2375	3097
217	2385	3085
218	2395	3073
219	2405	3061
220	2415	3049
221	2425	3036
222	2434	3024
223	2445	3012
224	2454	3000
225	2464	2987
226	2474	2975
227	2483	2963
228	2493	2950
229	2502	2937
230	2512	2925
231	2521	2913
232	2531	2901
233	2541	2889
234	2551	2877
235	2561	2865
236	2571	2853
237	2580	2841
238	2590	2829
239	2600	2817
240	2610	2805
241	2619	2793
242	2629	2781
243	2639	2769
244	2648	2756
245	2658	2745
246	2667	2732
247	2677	2720
248	2686	2708
249	2696	2696
250	2706	2684
251	2716	2673
252	2726	2662
253	2736	2650
254	2746	2638
255	2756	2627
256	2765	2615
257	2775	2603
258	2784	2591
259	2794	2579
260	2803	2567
261	2813	2555
262	2823	2544
263	2832	2532
264	2842	2520
265	2852	2509
266	2861	2497
267	2871	2485
268	2880	2473
269	2890	2462
270	2899	2450
271	2909	2438
272	2918	2426
273	2928	2415
274	2938	2403
275	2948	2392
276	2957	2381
277	2967	2369
278	2976	2357
279	2986	2346
280	2995	2334
281	3005	2323
282	3014	2311
283	3024	2300
284	3033	2288
285	3042	2276
286	3052	2265
287	3062	2254
288	3071	2242
289	3081	2231
290	3090	2219
291	3100	2208
292	3110	2197
293	3120	2186
294	3129	2174
295	3139	2163
296	3149	2152
297	3158	2141
298	3168	2129
299	3177	2118
300	3188	2107
301	3197	2096
302	3207	2085
303	3216	2073
304	3226	2062
305	3236	2051
306	3246	2040
307	3256	2029
308	3266	2018
309	3275	2007
310	3285	1996
311	3295	1985
312	3304	1974
313	3314	1963
314	3326	1953
315	3354	1953
316	3427	1978
317	3462	1981
