,Momentum_Window,Min_Momentum,Top_N,MA_Fast,MA_Slow,Rebalance,Sharpe Ratio,Total Return,Max Drawdown,Error,CAGR,Final Capital
0,12,0.2,5,12,50,W,0.7970555979542016,7.348428682047079,-0.4172255067655471,,0.2156577431997022,82725.36680069462
1,12,0.2,5,12,50,Q,0.7797907214697045,7.526184094226017,-0.46960605484571777,,0.2180170075601564,84218.24022066675
2,12,0.2,5,12,50,M,0.8526793008452969,10.243673597256013,-0.40261460203814475,,0.24942607310496134,111060.51587810971
3,12,0.2,5,12,50,Y,0.9571329688447018,14.910096078707193,-0.4795457732479448,,0.28998535485862575,157153.57288588834
4,12,0.2,5,12,50,6M,0.8526793008452969,10.243673597256013,-0.40261460203814475,,0.24942607310496134,111060.51587810971
5,12,0.2,5,12,100,W,0.7841572199497832,6.648709571990893,-0.38859430817441387,,0.20590423175160844,75791.78417797525
6,12,0.2,5,12,100,Q,0.7691344931010049,6.867939845082239,-0.3995595406741886,,0.2090443662469903,77716.366500182
7,12,0.2,5,12,100,M,0.8240587387815663,8.842781931289025,-0.3797321395626178,,0.23421939195088082,97223.06766637864
8,12,0.2,5,12,100,Y,0.9668671661858238,15.836342938322531,-0.47843649571811236,,0.29672029415884227,166302.66932394783
9,12,0.2,5,12,100,6M,0.8240587387815663,8.842781931289025,-0.3797321395626178,,0.23421939195088082,97223.06766637864
10,12,0.2,5,25,50,W,0.810734710199943,7.90306791455073,-0.376508834805992,,0.22287496335194512,88221.33924034533
11,12,0.2,5,25,50,Q,0.8297763631827358,9.455810872339956,-0.38980383216993914,,0.2411009464229381,103278.3226373112
12,12,0.2,5,25,50,M,0.8142219497259306,8.947805250647898,-0.3682682301765999,,0.235425468113464,98260.4460575545
13,12,0.2,5,25,50,Y,0.8724045470738548,11.094015515696416,-0.46499175790009406,,0.25783683645215083,119459.85363172615
14,12,0.2,5,25,50,6M,0.8142219497259306,8.947805250647898,-0.3682682301765999,,0.235425468113464,98260.4460575545
15,12,0.2,5,25,100,W,0.7562451871163073,5.975793862475695,-0.3597330998002461,,0.1957277117185976,69123.79897792147
16,12,0.2,5,25,100,Q,0.8006705291970027,7.656419984675603,-0.4034227351274196,,0.21971738548177933,85504.65831650207
17,12,0.2,5,25,100,M,0.8618857171996479,10.208173124513399,-0.3681749931611273,,0.24906251910845123,110709.8563910117
18,12,0.2,5,25,100,Y,0.795035731399436,7.745398807755052,-0.47849176132642984,,0.22086579956151065,86383.55558330305
19,12,0.2,5,25,100,6M,0.8618857171996479,10.208173124513399,-0.3681749931611273,,0.24906251910845123,110709.8563910117
20,12,0.2,10,12,50,W,0.7252561870303283,3.8934542103783856,-0.3181291137080835,,0.15734369811842264,48202.06425657257
21,12,0.2,10,12,50,Q,0.669848866005396,3.6864306197573096,-0.45265063310552756,,0.15274891399118062,46402.47512733816
22,12,0.2,10,12,50,M,0.8936265715441447,7.554032414715264,-0.38120096842207724,,0.21838257176151354,84697.35467519303
23,12,0.2,10,12,50,Y,0.8397736220115961,7.2579631466438945,-0.4573688311618224,,0.2144394693849312,81765.83856787415
24,12,0.2,10,12,50,6M,0.8936265715441447,7.554032414715264,-0.38120096842207724,,0.21838257176151354,84697.35467519303
25,12,0.2,10,12,100,W,0.6080814269559822,2.455487126223391,-0.3391969821839702,,0.12087373579153038,34037.63585704419
26,12,0.2,10,12,100,Q,0.7551106134336324,4.973259133723361,-0.3702206742989721,,0.1787762924227747,59192.04344928867
27,12,0.2,10,12,100,M,0.8717292168713829,6.874085470119349,-0.37006939123018334,,0.20913124277108186,78028.29223318654
28,12,0.2,10,12,100,Y,0.83017872273514,6.741237532843378,-0.4062123924556394,,0.20723939186273022,76711.83488564035
29,12,0.2,10,12,100,6M,0.8717292168713829,6.874085470119349,-0.37006939123018334,,0.20913124277108186,78028.29223318654
30,12,0.2,10,25,50,W,0.699732712623682,3.556332961931506,-0.33800352771075687,,0.14976622689959318,44881.3138456607
31,12,0.2,10,25,50,Q,0.6394080342447865,3.319462090811992,-0.3753316804759604,,0.1441312805142132,42803.73277519688
32,12,0.2,10,25,50,M,0.9422482172138582,8.70807727319243,-0.3368610251795062,,0.2326552369626249,96202.24385036223
33,12,0.2,10,25,50,Y,0.7814436859019008,5.800324779641228,-0.413220933104901,,0.19292770128749037,67387.85490708967
34,12,0.2,10,25,50,6M,0.9422482172138582,8.70807727319243,-0.3368610251795062,,0.2326552369626249,96202.24385036223
35,12,0.2,10,25,100,W,0.7104923818720246,3.4946107960194586,-0.325296852903447,,0.14832401136096207,44273.33108349702
36,12,0.2,10,25,100,Q,0.6856610410243904,3.753786387634591,-0.3739814647535134,,0.15426372768083807,47107.671725955224
37,12,0.2,10,25,100,M,0.9439732942803831,8.334533549531036,-0.34021470566422063,,0.22821232649191958,92500.61031560684
38,12,0.2,10,25,100,Y,0.731171190142158,4.744301752573722,-0.41943980363427785,,0.17454412898169624,56923.18905177369
39,12,0.2,10,25,100,6M,0.9439732942803831,8.334533549531036,-0.34021470566422063,,0.22821232649191958,92500.61031560684
40,12,0.2,15,12,50,W,0.6343017592161656,2.332559722910479,-0.2976078748950127,,0.11714360954479797,33376.8305950112
41,12,0.2,15,12,50,Q,0.7268696011305023,3.9641204544966033,-0.3900113390778099,,0.15887174750149446,49477.819126228
42,12,0.2,15,12,50,M,0.8543148909252325,5.533019679534911,-0.3929136121494161,,0.18853351478706126,65115.17377853297
43,12,0.2,15,12,50,Y,0.7534956023867047,4.72514005097812,-0.43870671316576515,,0.1741830236628319,57062.96745036266
44,12,0.2,15,12,50,6M,0.8543148909252325,5.533019679534911,-0.3929136121494161,,0.18853351478706126,65115.17377853297
45,12,0.2,15,12,100,W,0.611346683206825,2.0471774008432937,-0.2960539765053876,,0.10797772090665814,30388.47430065086
46,12,0.2,15,12,100,Q,0.7268926850702749,3.855386310862542,-0.3517337569051178,,0.15651221473605026,48129.56453995386
47,12,0.2,15,12,100,M,0.8961716228675976,5.750228361857008,-0.3270515647871323,,0.1921162599573909,66912.4001265533
48,12,0.2,15,12,100,Y,0.7183754581489558,4.084188762360443,-0.3913203723402383,,0.16142332191036957,50397.5946515088
49,12,0.2,15,12,100,6M,0.8961716228675976,5.750228361857008,-0.3270515647871323,,0.1921162599573909,66912.4001265533
50,12,0.2,15,25,50,W,0.6229311657945212,2.17525253939624,-0.29061364548578916,,0.11218362439914276,31665.724537342503
51,12,0.2,15,25,50,Q,0.6970996320742252,3.5133834318521915,-0.35780013866358934,,0.14876455064801442,44821.007300588106
52,12,0.2,15,25,50,M,0.9720633180453793,7.2885875195072405,-0.3056504034014194,,0.21485323004188928,82311.38509119334
53,12,0.2,15,25,50,Y,0.6981333131372376,3.867407781960688,-0.3918751525843862,,0.15677542663048638,48336.713027873746
54,12,0.2,15,25,50,6M,0.9720633180453793,7.2885875195072405,-0.3056504034014194,,0.21485323004188928,82311.38509119334
55,12,0.2,15,25,100,W,0.6881688519739175,2.5592484865918155,-0.2838654677475953,,0.12392966434599928,35495.1868356903
56,12,0.2,15,25,100,Q,0.6534252116849056,2.919276669497444,-0.34797039106575495,,0.13394029854787348,38850.27211789512
57,12,0.2,15,25,100,M,0.9570859095431231,6.686068648872015,-0.3080323153922949,,0.20644507175622762,76189.02254323105
58,12,0.2,15,25,100,Y,0.6372200891854451,3.0070562086218313,-0.41600887650394464,,0.13625401828775097,39720.396701828395
59,12,0.2,15,25,100,6M,0.9570859095431231,6.686068648872015,-0.3080323153922949,,0.20644507175622762,76189.02254323105
60,12,0.25,5,12,50,W,0.7759347984905498,6.504845666212286,-0.4186796615023985,,0.2037988884933839,74366.22317384176
61,12,0.25,5,12,50,Q,0.722124114835493,5.778158734920757,-0.4940149011857425,,0.1925693365035075,66951.94406814958
62,12,0.25,5,12,50,M,0.7776714436589245,7.4449114315862595,-0.4252775000117897,,0.21694391045606665,83415.46132803135
63,12,0.25,5,12,50,Y,0.9571329688447018,14.910096078707193,-0.4795457732479448,,0.28998535485862575,157153.57288588834
64,12,0.25,5,12,50,6M,0.7776714436589245,7.4449114315862595,-0.4252775000117897,,0.21694391045606665,83415.46132803135
65,12,0.25,5,12,100,W,0.7661247925367317,5.9170313125891685,-0.3871010570151916,,0.19479721460043264,68541.5153316635
66,12,0.25,5,12,100,Q,0.6851714945557094,4.827886689599196,-0.44622591061894973,,0.17610661897513769,57565.536443890975
67,12,0.25,5,12,100,M,0.7126000500736216,5.500627562628386,-0.4311910969626008,,0.1879899823170108,64210.60202362692
68,12,0.25,5,12,100,Y,0.9668671661858238,15.836342938322531,-0.47843649571811236,,0.29672029415884227,166302.66932394783
69,12,0.25,5,12,100,6M,0.7126000500736216,5.500627562628386,-0.4311910969626008,,0.1879899823170108,64210.60202362692
70,12,0.25,5,25,50,W,0.8116666995288174,7.480256567921102,-0.42813013235926073,,0.21741174302491983,84031.66174898118
71,12,0.25,5,25,50,Q,0.7820753900711472,7.450466920654541,-0.40476338832382325,,0.21701756121326143,83470.33622959636
